Sentiment,Sentiment_Polarity,id,userId,appId
Negative,-0.14,65,17,2
Negative,-0.303571429,66,13,2
Negative,-0.066666667,67,11,2
Positive,0.28125,68,9,2
Positive,0.133333333,69,16,2
Positive,0.4,70,2,2
Positive,0.154761905,71,5,2
Negative,-0.091666667,72,10,2
Positive,0.013636364,73,3,2
Negative,-0.435714286,74,14,2
Negative,-0.572916667,75,13,2
Positive,0.09,76,15,2
Negative,-0.216666667,77,0,2
Neutral,0,78,14,2
Negative,-0.155871212,79,4,2
Negative,-0.132142857,80,15,2
Negative,-0.088863636,81,12,2
Positive,0.243333333,82,4,2
Negative,-0.083333333,83,6,2
Positive,0.1375,84,1,2
Positive,0.058333333,85,7,2
Negative,-0.092307692,86,2,2
Positive,0.02962963,87,4,2
Positive,0.272727273,88,1,2
Neutral,0,89,9,2
Negative,-0.089393939,90,6,2
Positive,0.1625,91,7,2
Positive,0.2,92,6,2
Negative,-0.038888889,93,7,2
Negative,-0.185,94,10,2
Positive,0.05,95,8,2
Negative,-0.210714286,96,9,2
Negative,-0.04,97,10,2
Positive,0.140126263,98,13,2
Positive,0.281,99,1,2
Negative,-0.013333333,100,7,2
Negative,-0.14,101,11,2
Negative,-0.303571429,102,16,2
Negative,-0.066666667,103,18,2
Positive,0.28125,104,18,2
Positive,0.133333333,105,8,2
Positive,0.4,106,7,2
Positive,0.154761905,107,10,2
Negative,-0.091666667,108,11,2
Positive,0.013636364,109,13,2
Negative,-0.435714286,110,0,2
Negative,-0.572916667,111,13,2
Positive,0.09,112,18,2
Negative,-0.216666667,113,0,2
Neutral,0,114,10,2
Negative,-0.155871212,115,17,2
Negative,-0.132142857,116,14,2
Negative,-0.088863636,117,18,2
Positive,0.243333333,118,8,2
Negative,-0.083333333,119,1,2
Positive,0.1375,120,14,2
Positive,0.058333333,121,0,2
Negative,-0.092307692,122,7,2
Positive,0.02962963,123,12,2
Positive,0.272727273,124,14,2
Neutral,0,125,15,2
Negative,-0.089393939,126,10,2
Positive,0.1625,127,1,2
Positive,0.2,128,10,2
Negative,-0.038888889,129,14,2
Negative,-0.185,130,11,2
Positive,0.05,131,14,2
Negative,-0.303881836,132,0,2
Positive,0.140625,133,16,2
Positive,0.03125,134,13,2
Negative,-0.425,135,15,2
Positive,0.208333333,136,4,2
Positive,0.115625,137,16,2
Negative,-0.082857143,138,11,2
Negative,-0.051020408,139,0,2
Negative,-1,140,9,2
Positive,0.402,141,1,2
Positive,0.268181818,142,11,2
Negative,-0.065625,143,1,2
Positive,0.15,144,15,2
Negative,-0.200589226,145,8,2
Positive,0.266666667,146,4,2
Positive,0.193333333,147,6,2
Negative,-0.02,148,7,2
Negative,-0.014285714,149,10,2
Positive,0.2,150,5,2
Positive,0.1,151,11,2
Negative,-0.019047619,152,17,2
Positive,0.018333333,153,7,2
Positive,0.001298701,154,16,2
Negative,-0.12,155,2,2
Positive,0.086111111,156,17,2
Negative,-2.08E-17,157,18,2
Negative,-0.002222222,158,15,2
Positive,0.23125,159,6,2
Positive,0.04,160,1,2
Positive,0.06,161,17,2
Negative,-0.138541667,162,11,2
Positive,0.0525,163,8,2
Positive,0.3,164,13,2
Negative,-0.022222222,165,5,2
Positive,0.25,166,13,2
Positive,0.5,167,18,2
Negative,-0.1,168,14,2
Positive,0.078282828,169,6,2
Negative,-0.133333333,170,12,2
Negative,-0.016666667,171,13,2
Negative,-0.4,172,15,2
Positive,0.65,173,7,2
Negative,-0.175,174,14,2
Positive,0.1,175,13,2
Positive,0.248611111,176,10,2
Positive,0.066666667,177,3,2
Positive,0.525,178,2,2
Negative,-0.8,179,14,2
Negative,-0.009821429,180,13,2
Positive,0.19,181,11,2
Positive,0.186666667,182,18,2
Negative,-0.236458333,183,4,2
Negative,-0.0575,184,13,2
Positive,0.409090909,185,16,2
Positive,0.1,186,16,2
Positive,0.121428571,187,14,2
Negative,-0.1,188,17,2
Negative,-0.36,189,17,2
Negative,-0.024489796,190,5,2
Negative,-0.260714286,191,14,2
Negative,-0.04,192,5,2
Positive,0.140126263,193,16,2
Positive,0.281,194,10,2
Negative,-0.013333333,195,10,2
Negative,-0.303571429,196,3,2
Negative,-0.066666667,197,10,2
Positive,0.28125,198,16,2
Positive,0.4,199,5,2
Positive,0.154761905,200,4,2
Negative,-0.091666667,201,15,2
Positive,0.013636364,202,16,2
Negative,-0.435714286,203,12,2
Negative,-0.572916667,204,4,2
Negative,-0.216666667,205,12,2
Neutral,0,206,10,2
Negative,-0.155871212,207,9,2
Negative,-0.132142857,208,6,2
Negative,-0.088863636,209,18,2
Positive,0.243333333,210,17,2
Negative,-0.083333333,211,9,2
Positive,0.1375,212,5,2
Positive,0.058333333,213,9,2
Negative,-0.092307692,214,8,2
Positive,0.02962963,215,17,2
Positive,0.272727273,216,7,2
Neutral,0,217,10,2
Positive,0.1625,218,17,2
Positive,0.2,219,0,2
Negative,-0.038888889,220,0,2
Neutral,0,221,5,5
Positive,0.45,222,18,5
Positive,0.459090909,223,3,5
Positive,0.2,224,12,5
Negative,-0.073333333,225,0,1
Positive,0.3125,226,4,1
Positive,0.125,227,2,1
Positive,0.127083333,228,4,1
Positive,0.014583333,229,13,1
Positive,0.308333333,230,15,1
Positive,0.6,231,16,3
Positive,0.2,232,14,3
Positive,0.478787879,233,13,3
Positive,0.8,234,13,3
Positive,0.5,235,12,3
Positive,0.5,236,2,3
Neutral,0,237,3,3
Positive,0.5,238,2,3
Negative,-0.181818182,239,2,3
Positive,0.25,240,12,3
Positive,0.5,241,6,3
Positive,0.5,242,18,3
Neutral,0,243,15,3
Positive,0.78,244,1,3
Neutral,0,245,3,3
Positive,0.6,246,10,3
Positive,1,247,12,3
Neutral,0,248,12,3
Neutral,0,249,7,3
Neutral,0,250,8,3
Positive,0.2,251,16,3
Positive,0.3,252,17,3
Neutral,0,253,6,3
Positive,1,254,16,3
Positive,0.25,255,1,3
Positive,0.35,256,8,3
Positive,0.22,257,10,3
Positive,0.34375,258,6,3
Positive,0.186309524,259,17,3
Positive,0.128125,260,18,3
Positive,0.366666667,261,5,3
Positive,0.009090909,262,1,3
Positive,0.051041667,263,18,3
Positive,0.175,264,13,3
Positive,0.008928571,265,9,3
Negative,-0.6,266,1,3
Negative,-0.388888889,267,6,3
Positive,0.266666667,268,5,3
Neutral,0,269,6,0
Positive,1,270,17,0
Positive,0.25,271,18,0
Positive,0.2375,272,8,0
Neutral,0,273,6,0
Negative,-0.425,274,18,0
Negative,-0.166666667,275,9,0
Positive,0.471428571,276,2,0
Negative,-0.172727273,277,11,0
Neutral,0,278,12,0
Positive,0.35,279,8,0
Negative,-0.166666667,280,13,0
Negative,-0.2,281,14,0
Positive,0.256666667,282,12,0
Negative,-0.266666667,283,5,0
Negative,-0.2,284,4,0
Positive,0.02452381,285,14,0
Negative,-0.116233766,286,18,0
Positive,0.25,287,1,0
Negative,-0.35,288,9,0
Positive,0.5,289,11,0
Negative,-0.555555556,290,13,0
Positive,0.142857143,291,15,0
Negative,-0.125,292,0,0
Negative,-0.155102041,293,6,0
Positive,0.357142857,294,12,0
Positive,0.5,295,11,0
Negative,-0.0390625,296,0,0
Positive,0.138888889,297,17,0
Neutral,0,298,8,0
Positive,0.136363636,299,2,0
Negative,-0.455,300,4,0
